agent_id,team_name,skill_name,total_calls,avg_quality_score,avg_handle_time,last_call_date,updated_at
26514875,Leveraged,Heritage.SKL.PHN.US.EN,2,0.0,1750.5,2025-05-13 12:00:16.607,2026-03-16 09:23:41.798266
23548679,Dedicated - RCCL,RCCL.SKL.PHN.US.EN.Leveraged,1,0.0,581.0,2025-04-17 08:37:31.893,2026-03-16 09:23:41.802376
21352312,Dedicated - RCCL,RCCL.SKL.PHN.US.EN.Leveraged,1,0.0,1580.4,2025-04-17 09:35:50.177,2026-03-16 09:23:41.807837
24145412,Leveraged,Careforth.SKL.PHN.US.EN,1,0.0,2190.9,2025-04-17 17:04:40.867,2026-03-16 09:23:41.812928
28585315,Shared Services,AEG.SKL.PHN.US.EN,6,0.0,3027.1,2025-05-15 16:33:43.070,2026-03-16 09:23:41.817517
22351462,Leveraged,Careforth.SKL.PHN.US.EN,1,0.0,619.3,2025-04-17 18:19:50.237,2026-03-16 09:23:41.822901
27471653,Dedicated - Douglas Elliman,DE.SKL.PHN.EN,1,0.0,1962.4,2025-04-17 18:26:24.433,2026-03-16 09:23:41.827371
27275123,Dedicated - MSC,MSC.SKL.PHN.US.EN.AS400,1,0.0,622.8,2025-04-17 18:33:33.843,2026-03-16 09:23:41.832124
26565321,Shared Services,ADVENT.SKL.PHN.EN,1,0.0,779.3,2025-04-17 18:36:23.910,2026-03-16 09:23:41.836466
26854713,Dedicated - CAT,CAT.PLD.SKL.PHN.US.En.PWRst,1,0.0,463.3,2025-04-17 18:41:36.750,2026-03-16 09:23:41.840599
26541524,Shared Services,TexasChiro.SKL.PHN.US.EN.PWD,2,0.0,3855.8,2025-05-20 14:51:27.847,2026-03-16 09:23:41.843530
28787456,Dedicated - Douglas Elliman,DE.SKL.PHN.EN,3,0.0,3937.7,2025-05-20 14:15:32.923,2026-03-16 09:23:41.845919
25465231,Shared Services,AEIConsultants.SKL.PHN.US.EN,3,0.0,4970.4,2025-05-20 01:43:35.970,2026-03-16 09:23:41.848347
25645142,Shared Services,TMG.SKL.PHN.EN,3,0.0,4053.9,2025-05-16 17:44:06.387,2026-03-16 09:23:41.851376
25454653,Shared Services,GSRV.SKL.PHN.EN,2,0.0,2862.9,2025-05-19 22:00:27.607,2026-03-16 09:23:41.855734
24541241,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,2,0.0,2831.9,2025-05-13 21:04:54.590,2026-03-16 09:23:41.860488
24165398,Shared Services,Ambient.SKL.PHN.EN,3,0.0,3601.6,2025-05-19 13:17:08.260,2026-03-16 09:23:41.866569
65875421,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,0.0,2787.7,2025-05-12 02:53:39.303,2026-03-16 09:23:41.870406
29898672,Shared Services,Hanover.SKL.PHN.US.EN,1,0.0,3306.7,2025-05-12 13:53:42.270,2026-03-16 09:23:41.875631
28845136,Shared Services,Ambient.SKL.PHN.EN,1,0.0,3318.0,2025-05-12 18:37:41.687,2026-03-16 09:23:41.879552
75128436,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,0.0,4244.0,2025-05-13 01:35:05.300,2026-03-16 09:23:41.885412
25896478,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,0.0,3102.4,2025-05-14 04:41:57.387,2026-03-16 09:23:41.890165
22354114,Dedicated - MSC,MSC.SKL.PHN.US.EN.Password,1,0.0,2912.6,2025-05-14 18:43:30.323,2026-03-16 09:23:41.894098
26363514,Leveraged,Fuji.HD.SKL.PHN.US.EN,1,0.0,3598.2,2025-05-16 12:38:21.600,2026-03-16 09:23:41.898069
61534982,Leveraged,MSC.SKL.PHN.US.EN.LeveragedSD,1,0.0,4112.7,2025-05-19 00:07:58.417,2026-03-16 09:23:41.902523
24141565,Shared Services,AEIConsultants.SKL.PHN.US.EN,1,0.0,3026.4,2025-05-19 13:35:42.907,2026-03-16 09:23:41.907577
21121124,Shared Services,Tandigm.SKL.PHN.EN,1,0.0,3771.9,2025-05-20 11:54:53.017,2026-03-16 09:23:41.911954
29984756,Shared Services,Hanover.SKL.PHN.US.EN,1,0.0,3569.4,2025-05-20 14:27:06.287,2026-03-16 09:23:41.917411
